Age,Niveau de diplôme,Genre,Quartier,Salaire (€),Classe sociale,École des enfants,Dispose de femme de ménage,Prix au mètre carré de l'habitation (€/m2),Casier judiciaire,Niveau social des parents,Va souvent au cinéma,Score
37,4,0,0,1135,1,1,0,1794,0,1,2,-0.25
21,3,0,0,8051,2,1,1,2703,0,0,0,0.04999999999999982
82,1,0,2,9347,2,0,0,2144,0,1,1,1.15
28,1,1,1,7614,0,1,1,4911,1,2,1,2.9
29,1,0,1,9925,1,0,1,1676,0,1,2,0.8999999999999999
18,4,1,2,7226,1,1,0,3868,0,1,0,1.15
40,3,0,0,7167,2,0,1,3527,0,0,2,1.0499999999999998
81,4,1,2,1235,0,1,1,1394,0,1,2,1.15
58,4,1,0,6748,2,0,1,4361,1,1,1,3.4
56,4,0,0,1722,2,0,0,1512,0,2,2,0.25
39,2,1,2,8377,1,0,1,3415,0,2,2,2.3
72,0,0,0,5023,0,0,0,2756,0,2,2,0.6499999999999999
30,4,1,1,4039,1,1,0,2369,0,1,2,0.5499999999999998
79,4,0,1,4619,2,0,0,2054,1,2,2,3.55
56,0,1,1,1848,0,0,0,1679,1,0,0,2.5
68,2,1,0,4958,2,1,0,4144,0,2,2,0.3999999999999999
81,0,1,2,9971,0,1,1,1449,1,1,2,3.9
56,3,1,2,4582,2,0,1,3674,1,0,1,3.9499999999999997
51,4,1,2,9131,1,1,0,3573,1,0,0,3.65
26,1,0,0,9744,0,0,1,3130,0,2,1,0.04999999999999982
50,4,0,0,4876,1,0,0,4720,0,1,0,0.3999999999999999
82,2,1,2,7716,1,1,1,3868,0,2,1,1.2999999999999998
46,2,1,1,5457,0,1,0,4886,1,2,2,3.75
34,2,1,1,4489,0,1,0,4994,1,0,0,2.9
77,2,1,2,6566,2,1,1,3163,0,1,1,1.2999999999999998
72,4,1,1,2306,0,0,0,4184,0,0,2,1.25
46,4,0,2,5547,0,0,0,3690,1,1,0,4.15
44,2,0,2,3267,0,1,0,3658,0,0,1,0.7999999999999998
31,2,1,0,6913,0,1,1,2555,1,0,1,2.55
23,3,0,1,9084,1,0,0,1811,0,1,1,0.75
71,1,0,1,2277,2,0,0,3402,0,0,1,-0.10000000000000009
56,0,1,2,5580,1,0,1,4273,1,0,1,4.4
24,0,0,2,2982,0,1,1,3315,0,2,2,1.0499999999999998
22,0,0,0,6093,0,0,0,2551,0,0,2,0.6499999999999999
46,2,1,2,8834,2,1,1,2110,1,1,2,4.3
43,4,0,0,5118,0,1,0,2504,0,2,1,-0.10000000000000009
68,4,0,2,6763,1,0,1,1741,1,2,1,4.15
18,0,0,2,6934,2,1,1,4846,1,1,0,3.9
44,4,1,1,6952,1,0,0,2844,1,0,2,3.9
24,1,1,0,4836,2,0,1,3760,1,1,1,2.1999999999999997
61,0,0,0,4355,2,0,1,3889,1,0,0,2.4499999999999997
65,4,0,2,8903,0,0,0,1721,1,2,1,4.0
46,4,0,2,9169,0,0,1,1715,1,0,1,4.15
27,0,0,1,7597,1,1,1,3012,0,0,0,0.2999999999999998
65,2,0,0,5732,1,0,0,1160,0,0,2,0.75
27,1,1,0,6651,1,0,1,4234,1,0,1,2.9
75,4,1,2,1864,1,1,1,1952,0,0,1,0.6499999999999999
34,4,0,1,1325,0,0,1,4384,1,2,0,3.4
48,1,1,2,5426,1,1,0,1817,0,1,1,0.5
44,3,1,2,3772,0,1,0,4014,0,1,2,1.65
38,1,0,2,2443,1,1,1,3361,0,0,2,0.7999999999999998
86,1,0,0,2838,1,1,0,1140,0,0,2,-0.75
29,2,0,2,3860,1,0,0,4745,1,2,2,4.65
89,4,1,1,1357,1,1,1,3882,0,1,2,0.5499999999999998
75,4,0,0,3081,0,0,0,2934,1,2,2,3.05
46,4,0,1,2088,1,0,1,3704,1,2,1,3.05
63,3,1,1,7189,2,0,0,4412,0,1,1,1.25
39,4,0,2,1209,0,0,1,1663,0,0,1,1.15
77,0,0,0,6853,2,1,0,3374,0,1,2,0.1499999999999999
28,0,1,1,6254,0,0,1,4802,0,2,2,1.65
41,1,1,2,3602,0,1,0,3263,0,1,1,0.2999999999999998
52,1,1,2,7353,1,0,1,3758,0,0,2,1.7999999999999998
59,1,1,0,8116,2,0,0,3102,0,2,1,-0.10000000000000009
89,1,0,2,5109,2,1,1,1260,0,0,1,0.6499999999999999
22,1,1,2,6671,0,1,1,2439,1,1,1,3.3
73,1,0,0,9309,1,1,0,3067,1,0,2,2.4
64,2,0,2,7856,1,1,0,3426,0,2,2,1.65
24,0,1,1,1884,2,1,1,4675,0,0,2,0.6499999999999999
55,0,0,1,9949,0,0,1,1231,1,2,1,3.15
21,3,0,2,8636,1,1,1,2016,1,1,2,4.3
46,2,1,0,7319,1,1,0,4922,0,2,1,0.25
66,4,1,0,5930,1,0,0,2392,0,0,2,0.8999999999999999
39,0,0,1,7685,1,0,0,3382,1,0,1,3.15
84,1,1,2,4599,0,1,1,3950,1,0,1,2.9499999999999997
63,1,1,1,5066,2,1,0,1735,0,1,0,-0.25
77,2,0,0,6183,2,1,0,3235,0,2,2,0.3999999999999999
86,0,0,1,8820,0,1,1,3749,1,0,0,2.8
55,0,0,1,6277,2,1,0,2972,0,2,2,0.6499999999999999
18,3,1,1,9049,0,1,0,4576,1,1,2,3.75
53,0,0,0,9794,2,1,1,1698,1,1,0,2.15
89,2,1,1,7120,1,1,0,3548,1,1,1,2.9
31,4,0,1,6335,0,1,1,1025,1,1,2,3.4
44,0,0,0,2093,0,0,0,4160,1,2,0,2.5
28,4,1,0,3568,1,1,0,1188,0,2,1,-0.6000000000000001
64,2,1,1,3605,0,1,1,2911,0,1,1,0.19999999999999973
69,0,0,0,7587,1,1,1,4553,1,1,1,2.65
41,1,0,0,3489,0,0,0,3663,0,1,1,-0.4500000000000002
61,4,0,0,9765,2,0,1,3513,0,1,1,0.5499999999999998
80,0,1,1,7118,1,1,0,3854,0,2,0,0.1499999999999999
77,0,1,1,7921,0,0,1,1111,1,0,2,3.65
57,1,1,2,3253,1,0,0,3849,1,1,0,3.3
60,1,0,1,2929,2,1,1,3526,0,1,0,-0.4500000000000002
89,4,0,0,6058,2,0,1,2542,1,1,1,3.05
41,3,0,2,9140,0,0,0,4468,0,1,1,2.0
46,2,0,1,8076,1,1,0,1133,0,1,2,0.75
29,3,1,0,6073,1,1,0,4059,0,2,2,0.75
41,3,0,2,7285,2,1,1,1156,0,0,0,1.15
86,3,1,0,5766,1,1,0,2368,0,0,2,0.3999999999999999
78,1,0,2,3514,1,1,0,2144,0,0,1,0.2999999999999998
30,4,0,1,3979,0,1,1,3259,0,0,2,0.6999999999999997
64,4,0,2,6458,2,1,0,1610,1,2,2,4.0
59,2,0,0,4920,2,1,1,1095,0,0,0,-0.4500000000000002
52,3,1,0,5176,1,0,1,1188,1,0,1,2.9
22,2,1,2,3041,1,0,1,1282,1,0,0,3.8
29,0,1,1,3025,0,1,1,2087,1,2,0,2.4499999999999997
38,0,1,2,9761,1,0,1,2387,1,0,2,4.55
26,2,0,1,2937,1,0,0,1383,0,1,1,0.25
80,3,0,0,9772,0,1,1,4309,0,2,1,0.3999999999999999
64,1,1,1,7780,0,0,1,2406,0,2,0,0.5499999999999998
77,4,0,1,3600,0,1,1,1444,1,0,2,3.05
25,4,0,2,9065,2,0,1,1624,1,1,1,4.15
49,2,1,2,9460,1,0,0,3697,0,1,0,1.65
27,1,0,2,5415,0,0,1,2272,0,2,0,1.2999999999999998
48,3,0,2,8447,0,1,0,2755,1,1,2,4.15
47,1,1,2,3470,0,0,1,2388,1,0,1,3.4499999999999997
69,3,0,0,9242,2,1,1,1906,0,1,2,0.3999999999999999
51,3,1,0,5049,1,1,0,4894,0,1,2,0.75
26,0,0,1,6197,2,1,1,3966,1,2,2,3.3
32,4,1,1,5105,2,1,0,1785,1,2,2,3.25
74,2,1,2,1493,0,0,0,2422,0,0,1,1.15
30,0,1,0,6009,2,0,0,3893,1,0,2,3.15
45,3,1,0,3922,0,1,1,3704,1,0,1,2.1999999999999997
23,2,0,0,5420,1,0,1,2399,1,1,1,3.05
79,1,0,1,2822,2,1,1,3554,1,1,1,2.05
41,4,0,2,7154,2,0,1,3003,0,2,2,2.3
33,4,1,1,6359,1,0,0,1420,1,2,1,3.25
44,3,1,0,6125,2,1,0,1392,1,2,2,2.75
80,3,0,1,6943,1,1,0,1968,0,1,0,0.25
62,0,1,1,1619,2,0,1,2850,1,2,0,2.8
33,4,0,0,5668,0,0,0,2143,0,0,2,0.8999999999999999
68,1,0,1,7484,0,0,0,2754,0,1,1,0.3999999999999999
58,3,0,0,3820,0,1,0,3351,1,2,0,2.05
18,0,0,2,4943,1,1,1,4305,1,0,2,4.05
48,0,0,2,1319,1,0,1,4649,0,0,1,1.4
33,4,1,2,8591,1,0,0,2528,0,0,1,1.65
52,0,1,0,5592,1,0,1,3491,0,2,0,0.2999999999999998
26,0,1,0,1913,1,0,0,1331,0,2,2,0.0
64,3,0,2,8876,1,0,1,2375,1,0,2,4.8
61,3,1,0,7438,1,0,0,1805,0,0,2,0.75
66,2,0,2,8053,1,1,1,1435,1,0,0,3.65
82,2,0,1,4447,2,1,1,3300,1,1,2,3.1999999999999997
50,2,1,1,7849,1,1,1,1350,1,2,2,3.4
76,0,1,1,4764,2,0,0,4503,1,2,2,3.65
72,3,1,2,5505,1,1,1,3792,0,1,0,1.2999999999999998
48,2,0,1,5294,1,1,0,2492,0,0,1,0.3999999999999999
24,1,0,1,4699,2,1,1,4956,1,1,2,3.05
77,4,0,0,3584,2,0,1,4299,1,0,1,3.05
76,0,0,0,1359,1,0,1,4911,0,1,0,0.1499999999999999
28,2,0,0,4130,1,0,1,1797,1,1,0,2.55
86,3,0,1,8691,1,1,0,1726,0,1,2,0.75
39,3,1,1,4215,1,1,0,3226,1,0,2,3.05
88,0,0,2,1896,2,0,1,2021,0,1,1,1.0499999999999998
57,4,1,1,1147,0,1,1,4727,0,2,0,0.3999999999999999
32,3,1,1,9019,0,1,1,2523,1,1,2,3.55
22,2,1,0,6718,0,0,0,1238,0,1,1,0.25
57,3,1,2,8040,0,0,1,4431,0,2,0,2.1500000000000004
52,0,1,1,7137,2,0,0,3639,0,1,1,0.6499999999999999
71,3,1,0,3349,0,0,0,2458,1,1,1,2.55
19,0,1,1,5778,0,1,1,1816,0,1,1,0.1499999999999999
80,1,1,0,9829,0,0,1,3872,0,1,1,0.04999999999999982
41,1,1,1,7944,0,0,0,1218,0,1,1,0.25
80,1,0,2,2177,0,0,1,3021,1,1,1,3.3
72,2,0,0,3541,2,1,0,3040,0,2,1,-0.4500000000000002
48,0,1,0,4022,0,0,0,2612,0,0,0,-0.20000000000000018
52,1,0,0,1607,1,1,0,2038,0,1,2,-0.6000000000000001
39,4,1,2,9266,2,1,0,2741,0,2,2,1.65
43,2,1,1,6905,0,0,1,1289,1,2,2,3.9
45,2,1,1,5690,1,1,0,2918,1,2,0,2.9
84,0,0,1,5169,1,1,0,3578,0,1,2,0.6499999999999999
38,3,1,0,2190,0,1,1,2745,0,1,2,0.04999999999999982
48,1,0,0,7392,1,1,0,1626,1,0,2,2.25
89,2,0,1,8196,0,0,1,1521,0,0,1,0.8999999999999999
81,1,1,2,4226,1,1,1,1108,0,0,1,0.2999999999999998
57,3,0,0,3250,1,0,1,2555,0,2,1,0.19999999999999973
65,4,1,2,4202,0,0,0,3930,0,0,0,1.2999999999999998
38,1,0,2,5864,2,1,1,1949,0,0,0,0.6499999999999999
20,2,1,0,5231,2,1,1,3487,0,2,2,0.5499999999999998
24,2,1,2,3494,0,1,0,3468,1,0,2,3.8
76,2,1,2,2825,1,1,0,4227,1,1,1,3.5
59,2,0,0,7068,0,1,1,3792,1,2,2,3.05
35,3,0,1,1959,1,1,0,1933,0,1,0,-0.25
28,2,1,2,6816,2,1,0,2201,0,2,0,1.15
37,0,1,0,5909,0,0,0,1897,1,2,0,2.5
82,3,0,0,5554,2,0,0,3605,0,0,1,0.3999999999999999
30,0,0,0,5398,2,0,0,2613,1,0,2,3.15
58,0,1,0,5635,1,0,0,3554,1,0,0,2.65
39,0,1,0,3491,1,0,0,2458,1,1,1,2.3
58,3,1,1,1566,1,1,1,4987,1,0,2,3.4
50,1,0,2,6921,1,1,0,2321,0,0,2,1.15
27,0,1,2,9780,2,1,0,4315,0,2,0,1.25
25,2,1,0,8295,0,0,1,3492,0,0,0,0.5499999999999998
41,0,1,0,4756,2,0,1,1672,0,2,2,0.2999999999999998
90,1,0,1,7466,0,1,1,2754,0,1,2,0.5499999999999998
28,1,1,2,9984,2,0,0,3724,0,2,2,1.65
40,4,0,2,4132,2,0,1,4258,0,2,1,1.7999999999999998
89,0,1,0,1162,2,0,1,1441,0,2,0,-0.3500000000000001
46,4,0,1,6022,0,0,0,4997,1,1,0,3.75
60,1,0,2,6889,2,1,1,2226,0,1,0,0.7999999999999998
54,2,0,2,3280,0,0,1,3827,0,2,1,1.4499999999999997
78,3,1,2,3636,1,0,0,3708,0,1,2,1.7999999999999998
66,2,0,2,8233,1,1,1,3273,0,0,1,1.2999999999999998
64,1,1,2,5509,0,1,0,2386,1,0,0,3.15
71,2,0,2,1593,0,1,0,4128,1,0,1,3.5
78,3,0,0,2722,2,1,0,3077,0,2,2,-0.10000000000000009
54,1,1,0,1756,2,0,0,1820,0,1,1,-0.75
20,1,1,2,7928,2,0,0,1410,0,1,2,1.5
19,1,1,2,6367,0,1,1,4601,1,1,0,3.65
30,0,1,2,4060,2,0,0,4298,0,0,0,1.4
88,2,1,0,1324,1,1,1,4095,0,2,1,-0.10000000000000009
59,2,1,1,3027,0,1,1,1003,1,0,0,2.55
18,1,1,2,7591,0,1,1,3255,0,0,0,0.7999999999999998
75,2,1,2,6525,0,0,1,3550,0,0,0,1.7999999999999998
76,1,1,1,3853,0,1,0,2045,1,0,2,2.55
61,4,1,0,3352,0,1,0,2085,1,0,1,2.05
35,3,1,2,6647,2,1,0,3713,1,2,2,4.15
69,3,0,2,8294,0,0,1,4888,1,0,0,4.65
32,3,0,2,3861,0,1,0,1969,0,1,1,0.6499999999999999
30,3,0,0,9835,0,0,0,3939,0,1,2,0.8999999999999999
43,0,0,0,9188,0,1,1,1762,0,0,2,0.1499999999999999
81,3,0,1,2937,1,0,0,3187,0,0,2,0.8999999999999999
49,0,0,1,2885,0,0,0,4999,0,1,2,1.0
75,4,1,1,5072,0,0,0,4032,1,0,0,3.75
79,4,1,0,8930,1,1,1,1186,1,0,1,2.4
21,0,0,0,5585,0,0,0,1000,1,2,2,3.0
64,1,1,0,1733,1,1,1,1974,0,0,2,-0.6000000000000001
35,3,1,0,2431,1,0,0,3702,1,1,1,2.4
58,0,0,2,6461,1,1,1,1155,1,1,0,3.4
90,1,1,1,6730,1,0,0,4732,0,2,2,1.25
79,3,0,1,8503,1,0,0,1456,0,2,2,1.25
26,3,0,0,2632,0,1,1,1618,0,1,0,-0.6000000000000001
58,1,0,2,3173,0,0,0,3801,1,2,2,3.8
60,4,0,1,5711,2,0,0,1253,1,0,0,3.25
43,1,1,1,5784,1,1,0,1926,1,2,1,2.25
40,4,0,2,1937,0,0,0,2469,0,2,2,1.65
78,3,1,0,6770,1,1,1,3537,0,2,2,0.5499999999999998
80,1,0,0,7628,1,0,1,3392,0,2,2,0.5499999999999998
33,3,0,0,1941,0,1,0,3745,0,1,2,-0.10000000000000009
79,0,0,2,5893,2,1,0,1613,1,1,1,3.25
26,2,0,1,8512,0,0,1,2383,1,2,2,4.05
43,3,0,2,4194,0,0,1,4456,0,0,1,1.7999999999999998
34,1,1,2,2492,2,0,1,3829,1,0,2,3.8
20,4,1,1,9975,2,1,0,2419,1,0,1,2.9
30,2,0,1,1943,2,0,0,4853,0,0,0,0.75
58,1,0,2,4583,0,1,1,3518,0,1,1,0.44999999999999973
78,3,0,0,1292,1,0,0,3181,1,2,1,2.4
22,1,1,2,3695,0,0,1,4281,0,2,0,1.2999999999999998
61,2,0,0,4544,2,1,0,3160,1,2,2,2.55
59,1,0,0,2354,0,0,1,2304,0,0,2,0.04999999999999982
44,1,0,0,7647,2,1,0,4835,0,1,0,-0.25
79,2,0,0,3591,0,0,0,2656,1,1,1,2.55
39,4,1,2,3966,1,1,1,1099,0,2,0,0.7999999999999998
79,2,1,1,2564,2,1,1,2746,0,2,1,0.04999999999999982
50,3,1,2,3887,0,0,1,3826,0,1,0,1.4499999999999997
28,2,1,0,9964,1,1,1,3346,0,0,0,0.04999999999999982
80,3,1,1,2470,2,1,1,4972,0,0,2,0.8999999999999999
74,2,1,1,8078,1,1,0,2229,1,2,2,3.4
33,0,1,0,4157,0,1,1,2429,0,0,2,-0.050000000000000266
63,0,1,1,6687,1,1,0,3811,0,0,2,0.6499999999999999
85,2,1,2,7974,2,0,0,4213,0,0,0,2.0
78,2,0,0,4345,1,1,1,1604,1,0,0,2.05
89,4,0,0,5888,2,1,0,2357,1,1,0,2.4
48,4,1,0,1770,2,1,1,3840,1,2,0,2.05
79,0,1,2,2727,0,1,0,1788,1,1,1,2.75
47,4,1,2,6816,0,0,1,2908,1,2,2,4.8
34,4,0,0,7736,0,1,0,4387,0,1,1,0.25
43,4,1,0,7603,2,0,1,2375,1,0,2,3.55
53,0,1,1,5250,0,1,1,4991,0,0,1,0.6499999999999999
26,0,0,0,2827,0,1,1,4925,1,2,1,2.15
82,4,0,2,9311,1,0,0,1339,1,0,1,4.0
74,3,1,0,3106,1,0,1,3152,0,2,0,0.19999999999999973
72,0,0,0,8578,2,1,1,3265,0,2,1,-0.20000000000000018
26,3,1,0,3869,2,0,0,1712,1,2,1,2.4
18,1,0,2,4118,0,0,0,4198,0,0,0,1.15
21,2,1,0,1437,2,0,0,4716,0,1,2,0.75
54,0,1,0,6546,0,1,0,3587,1,0,1,2.15
81,4,0,2,8339,1,0,0,3823,0,0,0,1.65
82,0,0,2,2970,1,0,1,3696,1,2,0,3.55
45,2,0,1,3203,2,1,0,1864,1,1,0,2.4
60,4,1,0,7531,0,0,1,3212,1,0,0,3.05
89,1,0,1,1042,2,1,0,3251,0,0,2,-0.10000000000000009
67,2,0,2,7678,1,0,1,2332,1,1,2,4.8
19,3,1,1,6102,2,1,0,1859,0,2,2,0.75
71,1,0,2,4069,2,0,0,1452,1,2,1,3.15
22,3,0,0,9516,0,1,1,1680,0,0,1,-0.10000000000000009
28,3,1,1,8162,2,1,0,1112,0,0,0,0.25
35,0,1,0,3709,2,0,1,4807,0,1,2,0.7999999999999998
59,4,1,1,4164,2,0,1,3327,0,0,1,0.6999999999999997
56,4,0,2,1070,0,1,0,3865,0,0,2,1.15
27,4,1,2,4120,2,0,0,2912,1,0,0,3.8
31,0,0,1,2201,1,0,0,3404,0,1,2,0.6499999999999999
28,3,0,2,6396,1,1,0,2031,1,2,2,4.15
28,0,0,0,9585,2,1,1,2404,1,2,1,2.3
26,2,0,1,5344,1,1,1,3130,0,1,2,1.0499999999999998
89,3,0,1,8129,0,0,1,1525,1,0,0,3.4
87,3,0,0,6723,0,0,1,1817,0,1,0,0.3999999999999999
36,0,1,1,9343,2,0,0,4123,0,2,1,1.0
56,3,1,1,5605,2,1,0,1090,1,1,1,2.75
19,1,0,1,5192,2,0,0,3339,0,1,1,0.3999999999999999
28,4,0,0,6094,1,1,0,3242,0,1,2,0.3999999999999999
30,0,0,0,1023,1,0,0,4847,1,0,1,2.5
86,2,0,0,3155,0,1,0,4532,0,0,2,0.3999999999999999
39,1,1,2,3839,1,1,1,3710,1,0,2,3.4499999999999997
56,0,0,2,2070,1,0,1,1885,0,1,0,0.8999999999999999
23,4,1,1,1407,0,0,1,3066,0,0,1,0.5499999999999998
37,4,0,1,2631,0,1,0,4113,1,0,1,2.75
55,0,1,1,1468,1,1,0,2505,1,0,2,2.65
63,1,1,1,7937,1,1,1,4857,1,0,2,3.4
90,0,0,0,8134,1,0,0,2696,0,2,0,0.1499999999999999
77,1,1,2,6901,1,1,1,4644,0,2,1,1.15
29,1,1,0,8962,1,1,0,1593,1,2,0,1.75
19,2,0,1,6575,0,1,0,2996,0,2,1,0.3999999999999999
24,0,0,2,6468,2,1,0,3352,1,1,1,3.4
50,4,0,2,7108,2,0,1,4058,1,0,2,5.0
31,4,0,2,4921,1,1,1,2486,0,2,2,1.4499999999999997
64,3,0,0,2612,1,1,0,1032,1,1,2,2.25
66,2,1,0,9582,1,1,1,3663,1,2,0,2.55
72,3,0,1,8498,2,1,0,4913,0,2,1,0.75
86,4,0,0,3020,2,0,0,3535,1,2,1,2.55
56,3,1,2,8055,1,1,1,4441,1,1,2,4.65
81,0,0,2,8093,0,1,1,3799,1,1,0,3.55
70,3,0,2,9328,1,1,0,2560,0,1,2,1.65
21,4,1,0,3339,1,0,0,3805,0,0,1,0.04999999999999982
81,0,0,0,3724,2,0,0,4470,1,2,0,2.65
26,0,0,1,8356,2,0,0,4792,0,1,0,1.0
65,4,1,1,2543,1,0,1,4314,1,1,2,3.9
53,0,0,1,2843,2,0,1,3560,1,2,2,3.3
58,0,0,2,4432,0,1,1,2292,1,2,0,3.1999999999999997
33,0,1,0,4127,1,1,1,2389,1,0,2,2.4499999999999997
54,3,1,2,2701,1,0,0,4982,1,1,0,4.0
18,3,0,0,4425,1,1,1,3403,1,2,2,2.6999999999999997
65,1,1,0,9091,0,0,1,3392,0,1,1,0.04999999999999982
48,0,0,0,5385,0,0,1,2548,0,1,1,0.2999999999999998
24,3,1,1,2985,1,1,1,4765,0,0,0,0.3999999999999999
75,3,0,2,4875,1,0,1,3435,1,0,0,3.9499999999999997
62,2,1,2,1315,1,0,0,1673,0,1,1,1.0
69,2,1,1,1374,2,1,1,1049,0,2,1,-0.10000000000000009
58,4,0,1,4863,2,0,0,4462,1,1,2,3.9
86,3,0,1,8008,2,0,0,3208,0,2,2,1.4
28,2,1,1,1341,1,0,0,2803,0,1,1,0.3999999999999999
51,3,1,2,5335,2,0,0,4381,0,2,0,2.0
83,2,1,2,3860,2,1,1,4638,0,0,0,1.2999999999999998
31,2,1,2,2409,0,0,0,4724,1,2,0,4.0
49,1,1,0,9911,1,1,1,3389,0,2,0,-0.4500000000000002
62,1,1,2,2055,0,0,0,2873,0,2,1,0.6499999999999999
63,4,0,1,4587,0,0,1,2522,0,2,1,0.6999999999999997
83,2,0,1,3293,0,1,1,3129,1,0,1,2.6999999999999997
90,0,1,1,9519,1,0,1,1842,0,0,2,1.15
45,3,1,0,2442,1,1,1,2860,0,1,0,-0.4500000000000002
20,4,1,2,7187,2,1,0,2223,0,1,1,1.15
81,4,1,1,9242,1,0,0,3578,0,2,2,1.4
52,1,0,1,9410,0,1,0,2561,0,0,2,0.3999999999999999
90,1,1,1,4087,2,1,1,4280,0,1,0,0.04999999999999982
77,0,0,2,6054,0,0,1,4428,1,0,2,4.9
50,2,0,1,8189,2,0,1,3280,1,2,0,3.55
74,4,0,1,3438,0,0,1,2322,0,1,0,0.6999999999999997
32,3,0,2,6438,0,1,0,3606,1,0,0,3.65
50,2,1,0,7986,0,1,0,2716,0,1,1,-0.10000000000000009
79,2,0,1,6854,1,0,0,3689,0,0,0,0.8999999999999999
71,4,0,0,5586,0,1,0,2646,0,0,2,0.3999999999999999
58,2,1,0,2061,1,0,0,2690,1,0,0,2.4
80,4,0,2,9501,0,1,1,3577,0,0,0,1.2999999999999998
34,1,1,0,6354,0,0,0,4911,0,0,1,0.25
52,4,1,1,9133,2,1,1,1660,0,0,0,0.3999999999999999
47,3,0,1,6443,2,0,0,4770,1,0,2,4.25
75,3,0,0,3098,1,0,1,2704,0,0,1,0.19999999999999973
76,3,0,0,3241,1,0,1,2283,1,1,2,3.1999999999999997
52,0,1,0,3350,1,1,1,1945,1,1,2,2.3
70,2,0,2,1859,1,0,0,3644,0,0,2,1.65
67,3,0,2,4043,2,0,0,2147,1,2,2,4.3
60,0,0,1,3754,2,1,0,4974,1,1,2,3.15
19,3,1,1,4562,0,1,1,3917,1,2,2,3.1999999999999997
47,0,1,2,1516,1,1,1,2392,1,2,0,3.05
29,4,0,0,7060,0,0,1,3073,1,2,0,3.05
65,1,1,2,8087,1,0,0,1280,0,2,1,1.0
22,3,1,1,6884,0,1,1,3433,0,1,1,0.5499999999999998
71,1,1,1,2261,0,0,0,4848,0,0,2,0.75
28,0,0,2,9572,1,0,1,1613,1,1,2,4.4
37,1,0,2,1648,2,0,0,3203,0,2,1,0.6499999999999999
20,3,1,1,4568,2,0,0,4360,0,0,2,1.4
38,1,1,0,9512,1,0,1,3363,0,0,2,0.5499999999999998
28,3,0,2,7855,0,1,0,2189,1,1,1,3.65
70,0,1,0,7058,2,0,1,3423,0,0,2,0.7999999999999998
89,3,0,1,7766,1,1,0,3197,0,1,2,0.8999999999999999
40,1,1,2,9743,0,0,1,1709,0,2,0,1.15
75,3,1,0,5108,0,1,0,3204,0,0,0,-0.10000000000000009
74,2,0,0,6368,1,1,1,4635,1,2,1,2.9
38,0,1,1,7165,0,0,0,1420,0,0,2,1.0
88,4,0,1,3184,0,0,0,1773,0,2,1,0.3999999999999999
52,3,0,1,8917,0,0,1,3466,1,1,2,4.05
63,1,1,1,7905,0,1,1,4452,1,0,1,2.9
25,1,0,1,9222,0,0,0,2969,0,2,0,0.3999999999999999
58,1,0,1,1497,1,0,1,2476,1,0,0,2.55
37,3,1,2,6476,2,0,0,2263,0,1,0,1.65
20,4,1,0,3004,2,0,1,4124,0,1,1,0.5499999999999998
84,0,1,2,7966,0,0,0,3225,1,2,1,3.9
26,2,1,1,7163,2,1,0,3897,0,2,1,0.3999999999999999
85,1,1,1,5527,0,1,0,3495,0,1,2,0.3999999999999999
76,1,0,0,1105,0,1,0,1651,0,2,2,-0.75
